시도,합계,월,시군구
경기도,5794128,201803,용인
경기도,1025557,201803,의왕
경기도,3463561,201803,의정부
경기도,480738,201803,이천
경기도,2067176,201803,파주
경기도,1811409,201803,평택
경기도,480300,201803,포천
경기도,1321981,201803,하남
경기도,2679904,201803,화성
강원특별자치도,466869,201803,강릉
강원특별자치도,36267,201803,고성
강원특별자치도,271018,201803,동해
강원특별자치도,28397,201803,삼척
강원특별자치도,156545,201803,속초
강원특별자치도,10842,201803,양구
강원특별자치도,27851,201803,양양
강원특별자치도,10469,201803,영월
강원특별자치도,888252,201803,원주
강원특별자치도,13378,201803,인제
강원특별자치도,16498,201803,정선
강원특별자치도,25381,201803,철원
강원특별자치도,732317,201803,춘천
강원특별자치도,47475,201803,태백
강원특별자치도,11815,201803,평창
강원특별자치도,36260,201803,홍천
강원특별자치도,14235,201803,화천
강원특별자치도,32900,201803,횡성
충청북도,31491,201803,괴산
충청북도,28942,201803,단양
충청북도,38267,201803,보은
충청북도,56502,201803,옥천
충청북도,2717,201803,음성
충청북도,217480,201803,제천
충청북도,107910,201803,증평
충청북도,97093,201803,진천
충청북도,2618820,201803,청주
충청북도,17040,201803,충주
충청남도,71884,201803,계룡
충청남도,210201,201803,공주
충청남도,51991,201803,금산
충청남도,160205,201803,논산
충청남도,242146,201803,당진
충청남도,681,201803,보령
충청남도,63926,201803,부여
충청남도,215032,201803,서산
충청남도,39243,201803,서천
충청남도,758752,201803,아산
충청남도,106019,201803,예산
충청남도,2667374,201803,천안
충청남도,15720,201803,청양
충청남도,45191,201803,태안
충청남도,93495,201803,홍성
전라북도,52,201803,고창
전라북도,359534,201803,군산
전라북도,63667,201803,김제
전라북도,62040,201803,남원
전라북도,385,201803,무주
전라북도,27160,201803,부안
전라북도,18622,201803,순창
전라북도,180477,201803,완주
전라북도,566245,201803,익산
전라북도,18799,201803,임실
전라북도,178,201803,장수
전라북도,1794680,201803,전주
전라북도,96447,201803,정읍
전라북도,37573,201803,진안
전라남도,2517,201803,강진
전라남도,20235,201803,고흥
전라남도,3883,201803,곡성
전라남도,152819,201803,광양
전라남도,7772,201803,구례
전라남도,490431,201803,나주
전라남도,106031,201803,담양
전라남도,479103,201803,목포
전라남도,95745,201803,무안
전라남도,29882,201803,보성
전라남도,743562,201803,순천
전라남도,6117,201803,신안
전라남도,772810,201803,여수
전라남도,10910,201803,영광
전라남도,38437,201803,영암
전라남도,6281,201803,완도
전라남도,51059,201803,장성
전라남도,57,201803,장흥
전라남도,51390,201803,함평
전라남도,11618,201803,해남
전라남도,255481,201803,화순
경상북도,1356548,201803,경산
경상북도,494633,201803,경주
경상북도,37752,201803,고령
경상북도,735564,201803,구미
경상북도,6,201803,군위
경상북도,219907,201803,김천
경상북도,42028,201803,문경
경상북도,5269,201803,봉화
경상북도,33942,201803,상주
경상북도,21416,201803,성주
경상북도,349567,201803,안동
경상북도,94113,201803,영주
경상북도,158453,201803,영천
경상북도,28798,201803,예천
경상북도,7625,201803,울릉
경상북도,20390,201803,울진
경상북도,13895,201803,의성
경상북도,15456,201803,청도
경상북도,105,201803,청송
경상북도,77758,201803,칠곡
경상북도,940873,201803,포항
경상남도,416134,201803,거제
경상남도,1664,201803,고성
경상남도,1872895,201803,김해
경상남도,1705,201803,남해
경상남도,79319,201803,밀양
경상남도,52314,201803,사천
경상남도,154,201803,산청
경상남도,1719672,201803,양산
경상남도,2217,201803,의령
경상남도,1191070,201803,진주
경상남도,350,201803,창녕
경상남도,3757429,201803,창원
경상남도,415685,201803,통영
