시도,시군구,월,PM25,PM10,SO2,O3,NO2,CO,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃),강수량(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),일조합(hr),일조율(%),평균습도(%rh),최저습도(%rh)
충청북도,청주,201811,84.90566038,69.3877551,16.23036649,10.16949153,63.63636364,50,41.98895028,42.31884058,38.0952381,41.26582278,45.72025052,4.844838505,10.21995708,13.63636364,8.4,67.64705882,14.67391304,61.76470588,53.24909747,67.02519106,46.875,20.68965517
충청북도,청주,201812,64.1509434,53.06122449,16.23036649,10.16949153,56.81818182,50,19.61325967,16.8115942,24.10714286,22.78481013,24.8434238,3.008233059,3.782188841,20.45454545,9.2,88.23529412,13.58695652,88.23529412,56.76895307,74.27115766,35.9375,22.4137931
충청북도,청주,201901,84.90566038,72.44897959,21.46596859,11.86440678,65.90909091,60,18.50828729,16.23188406,6.845238095,20.75949367,31.10647182,0.010555204,0.026824034,18.18181818,8,94.11764706,11.41304348,88.23529412,63.05655836,81.50297198,31.25,24.13793103
충청북도,청주,201902,86.79245283,68.36734694,16.23036649,23.72881356,65.90909091,40,24.03314917,22.89855072,21.72619048,25.82278481,32.56784969,2.427696855,3.567596567,15.90909091,7.6,94.11764706,8.967391304,79.41176471,54.69314079,70.40758562,35.9375,27.5862069
충청북도,청주,201903,88.67924528,71.42857143,10.9947644,47.45762712,56.81818182,40,40.33149171,42.02898551,41.07142857,38.48101266,46.13778706,2.142706354,3.326180258,22.72727273,15.2,67.64705882,27.44565217,67.64705882,61.0709988,62.51061421,32.8125,15.51724138
충청북도,청주,201904,41.50943396,45.91836735,10.9947644,47.45762712,43.18181818,20,54.97237569,57.10144928,69.3452381,51.89873418,50.3131524,6.417563859,7.322961373,22.72727273,11.6,20.58823529,15.76086957,94.11764706,59.71720818,56.19869799,32.8125,15.51724138
충청북도,청주,201905,50.94339623,54.08163265,10.9947644,71.18644068,36.36363636,20,74.58563536,80.28985507,80.05952381,67.08860759,64.71816284,2.142706354,3.540772532,25,8.8,88.23529412,19.83695652,67.64705882,87.93622142,79.09708463,25,17.24137931
충청북도,청주,201906,47.16981132,38.7755102,10.9947644,62.71186441,29.54545455,20,82.32044199,84.34782609,78.86904762,78.98734177,77.45302714,8.708043065,9.012875536,18.18181818,7.2,8.823529412,9.510869565,94.11764706,64.86161252,54.04755166,50,37.93103448
충청북도,청주,201907,32.0754717,25.51020408,10.9947644,38.98305085,25,20,91.43646409,90.14492754,86.30952381,89.87341772,88.72651357,21.61705721,26.20708155,22.72727273,8.8,20.58823529,9.782608696,20.58823529,46.69073406,33.73903198,62.5,36.20689655
충청북도,청주,201908,32.0754717,26.53061224,10.9947644,40.6779661,25,30,95.02762431,95.65217391,89.88095238,92.65822785,89.77035491,8.496938991,6.25,20.45454545,12.4,35.29411765,19.83695652,35.29411765,62.45487365,54.64194735,59.375,67.24137931
충청북도,청주,201909,28.30188679,24.48979592,5.759162304,33.89830508,29.54545455,30,82.0441989,80.86956522,76.19047619,80.50632911,75.782881,16.37112096,13.94849785,18.18181818,22.8,47.05882353,36.68478261,35.29411765,42.50902527,38.60741579,62.5,43.10344828
충청북도,청주,201910,37.73584906,34.69387755,5.759162304,27.11864407,38.63636364,30,64.36464088,64.92753623,63.69047619,63.03797468,61.1691023,8.898036732,15.26287554,13.63636364,13.6,0,17.93478261,8.823529412,58.60409146,64.05321257,54.6875,51.72413793
충청북도,청주,201911,50.94339623,47.95918367,10.9947644,15.25423729,56.81818182,40,42.81767956,43.47826087,42.85714286,42.27848101,44.25887265,11.0724087,17.86480687,9.090909091,6.4,26.47058824,12.22826087,79.41176471,56.40794224,71.83696575,48.4375,27.5862069
충청북도,청주,201912,64.1509434,47.95918367,16.23036649,8.474576271,63.63636364,50,25.13812155,21.73913043,24.10714286,28.35443038,31.94154489,2.121595947,1.958154506,11.36363636,7.2,79.41176471,17.11956522,67.64705882,46.26955475,57.8403623,51.5625,22.4137931
